symbol,companyName,exchange,ipoDate,delistedDate
TSC,Tristate Capital Holdings Inc,NASDAQ,2013-05-09,2022-08-09
PBIP,Prudential Bancorp Inc,NASDAQ,2005-03-30,2022-08-09
CCMP,CMC Materials Inc,NASDAQ,2000-04-05,2022-08-09
TVTY,Tivity Health Inc,NASDAQ,1991-08-13,2022-08-09
ZNGA,Zynga Inc - Class A,NASDAQ,2011-12-16,2022-08-09
EPAY,Bottomline Technologies (Delaware) Inc,NASDAQ,1999-02-12,2022-08-09
VG,Vonage Holdings Corp,NASDAQ,2006-05-24,2022-08-09
MIME,Mimecast Ltd,NASDAQ,2015-11-19,2022-08-09
CHWAW,CHW Acquisition Corp - Warrants (01/03/2028),NASDAQ,2021-09-24,2022-08-09
CTXRW,Citius Pharmaceuticals Inc - Warrants(02/08/2022),NASDAQ,2017-08-03,2022-08-08
XPOA,DPCM Capital Inc - Class A,NYSE,2020-12-11,2022-08-05
XPOA-U,DPCM Capital Inc - Units (1 Ord Share Class A & 1/3 War),NYSE,2020-10-21,2022-08-05
EEH,AB Svensk Exportkredit,NYSE ARCA,2007-08-02,2022-08-05
ETTX,Entasis Therapeutics Holdings Inc,NASDAQ,2018-09-26,2022-08-05
LNFA-U,ZeroFox Holdings Inc - Units (1 Ord Class A & 1/2 War),NYSE MKT,2020-11-19,2022-08-03
NPTN,NeoPhotonics Corporation,NYSE,2011-02-02,2022-08-03
MTOR,Meritor Inc,NYSE,2000-07-10,2022-08-03
LNFA,ZeroFox Holdings Inc - Class A,NYSE MKT,2021-01-07,2022-08-03
LEAP-WS,Ribbit LEAP Ltd - Warrants (09/09/2025),NYSE,2020-11-02,2022-08-03
NRGV-WS,Energy Vault Holdings Inc - Warrants (11/01/2027),NYSE,2021-03-30,2022-08-02
AIIQ,AI Powered International Equity ETF,NYSE ARCA,2018-06-06,2022-08-02
SO 6.75 08-01-22,Southern Company,NYSE,2019-08-14,2022-07-29
DSACU,FiscalNote Holdings Inc - Units (1 Ord Class A & 1/2 War),NASDAQ,2020-10-29,2022-07-29
GOBI,Gobi Acquisition Corp Class A,NASDAQ,2021-06-29,2022-07-29
BCACU,Apexigen Inc - Units (1 Ord Share & 1/2 War),NASDAQ,2021-01-29,2022-07-29
DYFN,Angel Oak Dynamic Financial Strategies Income Term Trust,NYSE,2020-06-26,2022-07-29
VSL,Volshares Large Cap ETF,NYSE ARCA,2018-02-23,2022-07-28
MILEW,Metromile Inc - Warrants (09/02/2026),NASDAQ,2020-11-20,2022-07-28
WBT,Welbilt Inc,NYSE,2016-02-18,2022-07-28
WALDU,Waldencast Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),NASDAQ,2021-03-16,2022-07-27
GSAQ,Global Synergy Acquisition Corp - Class A,NASDAQ,2021-03-01,2022-07-26
CTRU,ARK Transparency ETF,BATS,2021-12-08,2022-07-26
GSAQW,Global Synergy Acquisition Corp - Warrants (01/01/2025),NASDAQ,2021-03-01,2022-07-26
PSTH,Pershing Square Tontine Holdings Ltd - Class A,NYSE,2020-09-11,2022-07-26
GSAQU,Global Synergy Acquisition Corp - Units (1 Ord Class A & 1/2 War),NASDAQ,2021-01-08,2022-07-26
PSTH-WS,Pershing Square Tontine Holdings Ltd - Warrants (24/07/2025),NYSE,2020-09-11,2022-07-25
CNR,China Metro Rural Holdings Ltd,NYSE MKT,2016-01-04,2022-07-25
PRPB-U,Getty Images Holdings Inc - Units (1 Ord Share Class A & 1/4 War),NYSE,2020-07-31,2022-07-22
ACTDU,ArcLight Clean Transition Corp II - Units (1 Ord Share Class A & 1/5 War),NASDAQ,2021-03-23,2022-07-21
MIC,Macquarie Infrastructure Holdings LLC,NYSE,2004-12-16,2022-07-21
PSB,PS Business Parks Inc,NYSE,1991-03-27,2022-07-20
